	Antwerp_Belgium	Bulgaria	Cambridge_UK	Crete	Font_Roja_Spain	Gotland_Sweden	Harjavalta_Finland	Italy	La_Rouviere_France	Loch_Lomond_Scotland	Mariola_Spain	Montpellier_France	Oulu_Finland	Pilis_Mountains_Hungary	Pirio_Muro_Corsica	Radolfzell_Germany	Romania	Seewisen_Germany	Tartu_Estonia	Turkey	Velky_Kosir_Czech_Republic	Vienna_Austria	Vlieland_NL	Westerheide	Wytham_UK	Zurich_Switzerland	Zvenigorod_Russia
Antwerp_Belgium	0.00	1810183.69	311692.85	2427891.64	1450531.55	1146043.45	1560155.02	1195966.08	812251.06	801323.20	1555364.48	906897.12	1952890.19	1117990.65	1076191.46	507722.66	1563601.46	611455.83	1629069.38	2687949.20	917382.51	920972.89	226983.87	126668.59	399137.53	522241.85	2186811.70
Bulgaria	1810183.69	0.00	2121839.33	853744.44	2193594.46	1694107.02	2063907.26	953478.08	1678435.43	2565518.94	2241790.74	1739774.85	2467124.11	721424.15	1304525.99	1365383.95	406999.68	1214360.11	1732350.27	903882.32	962337.50	900828.76	1876893.68	1808835.57	2202247.72	1384762.68	1668233.37
Cambridge_UK	311692.85	2121839.33	0.00	2726825.75	1507565.90	1308310.71	1668643.05	1474285.32	968866.50	532476.34	1613248.63	1044648.57	2020748.98	1427697.63	1309440.23	800022.28	1871152.67	918918.06	1805338.45	2998670.97	1220919.30	1231594.44	342383.62	343553.74	110279.70	804806.94	2406271.08
Crete	2427891.64	853744.44	2726825.75	0.00	2294877.34	2531708.67	2915797.99	1285268.84	2019736.48	3224921.66	2303988.31	2038448.66	3320854.19	1484101.21	1575938.74	1926840.10	1259884.27	1820579.74	2585150.89	991859.62	1723622.66	1617719.17	2549364.80	2461223.62	2785311.77	1925087.15	2461476.84
Font_Roja_Spain	1450531.55	2193594.46	1507565.90	2294877.34	0.00	2510234.78	2964892.31	1245077.80	709199.09	1964417.05	105882.81	602692.91	3381740.20	1866245.49	902814.97	1270368.81	2224218.48	1405638.66	2936747.73	3036205.32	1848726.43	1725381.43	1675512.18	1576017.70	1460728.31	1217470.00	3345608.05
Gotland_Sweden	1146043.45	1694107.02	1308310.71	2531708.67	2510234.78	0.00	472214.11	1721151.11	1805653.94	1405183.52	2608900.65	1912673.86	914751.28	1088144.65	1836897.20	1258192.95	1293756.86	1165555.99	498039.62	2328302.98	890594.69	1040978.88	976624.47	1029212.57	1417241.39	1310180.90	1139680.06
Harjavalta_Finland	1560155.02	2063907.26	1668643.05	2915797.99	2964892.31	472214.11	0.00	2187381.64	2265379.49	1634814.76	3065230.05	2372039.08	444294.01	1525627.49	2309091.85	1725200.52	1656907.88	1637284.96	415951.69	2582261.89	1347566.92	1500752.93	1363872.12	1436333.35	1771834.36	1776642.28	1053050.99
Italy	1195966.08	953478.08	1474285.32	1285268.84	1245077.80	1721151.11	2187381.64	0.00	759752.04	1994892.03	1300148.58	803428.27	2631615.34	738249.41	351521.91	690570.06	1001591.39	644370.93	2009229.08	1827510.44	846965.27	692336.26	1360108.33	1257323.41	1520246.61	674039.72	2249025.67
La_Rouviere_France	812251.06	1678435.43	968866.50	2019736.48	709199.09	1805653.94	2265379.49	759752.04	0.00	1491739.53	804769.51	107091.46	2689387.06	1212573.30	444948.93	561628.24	1616278.11	704035.76	2227548.65	2573023.63	1158892.19	1049372.93	1037384.84	928901.01	965710.83	508837.63	2650661.07
Loch_Lomond_Scotland	801323.20	2565518.94	532476.34	3224921.66	1964417.05	1405183.52	1634814.76	1994892.03	1491739.53	0.00	2067770.23	1559966.77	1891952.55	1848761.45	1841839.47	1308934.73	2269403.60	1404371.39	1884736.10	3409888.97	1618193.02	1664781.89	688799.57	765773.36	527261.35	1321057.98	2544694.36
