V3 POS200KB MEAN_cM
1 0 0.824527233532173
1 2e+05 0.158122486630959
1 4e+05 0.121089946343318
1 6e+05 0.0966627960219183
1 8e+05 0.0219688815019838
1 1e+06 0.00772570792513136
1 1200000 0.0145929737409607
1 1400000 0.0212276829966158
1 1600000 0.0259034979104473
1 1800000 0.0165772143800514
1 2e+06 0.0130749195927191
1 2200000 0.0123538068271375
1 2400000 0.00740951656114432
1 2600000 0.00920558258011311
1 2800000 0.00836183214528652
1 3e+06 0.00284801661588321
1 3200000 0.00346312115605068
1 3400000 0.00328198053885615
1 3600000 0.00640712089944764
1 3800000 0.00362178310602607
1 4e+06 0.00246645757130783
1 4200000 0.00349050049957366
1 4400000 0.0033528204985849
1 4600000 0.00241285118405338
1 4800000 0.00218000842850504
1 5e+06 0.00345088844283607
1 5200000 0.000299984289807147
1 5400000 0.000900132591739067
1 5600000 0.000559558463572683
1 5800000 0.000259162438723705
1 6e+06 0.00255991169937364
1 6200000 0.000538761357004671
1 6400000 1.44905380412854e-05
1 6600000 0.00122939486142686
1 6800000 0.000649123547642438
1 7e+06 0.000313964367186965
1 7200000 0.000901099319164141
1 7400000 0.000409227668918278
1 7600000 5.45626445549305e-05
1 7800000 0.000148971410311389
1 8e+06 0.00105494374466684
1 8200000 0
1 8400000 0
1 8600000 0
1 8800000 0.000207657843685364
1 9e+06 0.000339292082556229
1 9200000 0.000276783664072348
1 9400000 0.000492177486790932
1 9600000 0.000589371552993667
1 9800000 0.000171104900715622
1 1e+07 7.53236991877612e-05
1 10200000 6.43522384481417e-05
1 10400000 7.27347312134925e-05
1 10600000 5.51297210524009e-05
1 10800000 0
1 1.1e+07 4.44413023559656e-06
1 11200000 6.25741674853791e-05
1 11400000 6.79705775020056e-05
1 11600000 8.88616188388782e-05
1 11800000 8.26096784719075e-05
1 1.2e+07 8.67351735614699e-05
1 12200000 7.80165388743393e-05
1 12400000 6.29723009644425e-05
1 12600000 8.98468988331486e-05
1 12800000 0.000129333090746559
1 1.3e+07 0.000134232467279396
1 13200000 4.01059429132289e-05
1 13400000 0
1 13600000 6.99748807258843e-05
1 13800000 0.000130281611291262
1 1.4e+07 0.000107545803700168
1 14200000 4.39414876064352e-05
1 14400000 2.69897999472524e-05
1 14600000 6.57785036552003e-05
1 14800000 4.36321830906881e-05
1 1.5e+07 3.17801105378762e-05
1 15200000 2.32202759922912e-05
1 15400000 0
1 15600000 0
1 15800000 0
1 1.6e+07 0
1 16200000 0.000117526484044595
1 16400000 0.000109153911535619
1 16600000 0
1 16800000 5.73748883621655e-05
1 1.7e+07 0.000102696245447377
1 17200000 4.15792790279303e-05
1 17400000 0
1 17600000 0
1 17800000 2.02741362248881e-05
1 1.8e+07 5.03202413457607e-05
1 18200000 5.1179830119327e-05
1 18400000 4.54093683641879e-05
1 18600000 7.24704600107629e-05
1 18800000 5.56060372112464e-05
1 1.9e+07 0
1 19200000 0
1 19400000 4.27361956921097e-05
1 19600000 9.3274132827294e-05
1 19800000 0.000128206521752437
